epoch,D_loss,G_loss,D_x,D_G_z1,D_G_z2
1,0.547797925702241,3.680935260095553,0.8149407229739237,0.1880093423679437,0.07697988845451552
2,0.9243902629368925,2.2352741021816045,0.694977234181476,0.3062810010349029,0.18272192362849027
3,1.10964889586244,1.767873173707152,0.622339040381179,0.3766724316564869,0.23004457196348335
4,1.2387417271801326,1.415730849520801,0.5772882498562608,0.4230664733065862,0.2851005963402796
5,1.3006961010906795,1.1944139931844249,0.5499019399625525,0.4484357220805399,0.33140756829416373
6,1.3051061015150862,1.0824758464887263,0.5412572952982497,0.45695493877206217,0.3592122016159911
7,1.322380507101207,1.0660743046568952,0.5355454578519412,0.4638157618916742,0.3633517504554905
8,1.323975508615851,1.0176063724304443,0.5334319434209501,0.46542353662726,0.37796264832422616
9,1.324839605588347,1.0301491713414999,0.5338366718188813,0.4667132613865752,0.3729183260844723
10,1.3428551274347522,0.9931896293544333,0.5277579889449899,0.472059934378759,0.38469849533686357
11,1.3302782314008774,1.0049746346800295,0.529963774291892,0.4690973404879984,0.38053902493764274
12,1.3507612753132163,0.9573979315148097,0.5258788507278651,0.47534590775836005,0.3978408218518784
13,1.352281054405317,0.9310823003995364,0.520936162232264,0.4777323591382536,0.4050382309036168
14,1.361984696018097,0.9335689800515022,0.5190725684438122,0.4813315907841948,0.40394470680794214
15,1.3635597735235137,0.9103244801634522,0.5175779551675875,0.4814389160234634,0.41246111452851664
16,1.3707218404229917,0.906809292427481,0.515189167299227,0.48348055324053657,0.4139350339702275
17,1.367650308565462,0.894294423871933,0.5168612011491436,0.48402827175240537,0.41924235782666835
18,1.3619808905745205,0.8795531322694805,0.5169879845832581,0.4823934475308684,0.42499267769186466
19,1.3785212159701135,0.8697896681419791,0.5128580832590252,0.48623866604887733,0.42835860736838216
20,1.3719678768828578,0.8789873223870857,0.5154335990071841,0.4860555213880321,0.4243647846729244
21,1.3673617262818498,0.8891366820901496,0.5169763420814792,0.4842905404905206,0.4212635426216474
22,1.3629097791567242,0.8807268842170227,0.5149132665161673,0.48353825244185045,0.42335834731794386
23,1.3738551863796635,0.8744197637523146,0.5133560912249839,0.4867209030068628,0.4267771067140309
24,1.3636535640176572,0.898780221264112,0.5174920481361754,0.4827409747256536,0.41738378457282777
25,1.3665671827586274,0.8849247571540205,0.5166752294862651,0.48330731111574393,0.4234096620861254
26,1.3823749458408792,0.8538834008996345,0.5108626223590276,0.48806656128195325,0.4342641559637845
27,1.370474609065818,0.8720451786637851,0.5136667084476175,0.4845159033389941,0.4280486674341437
28,1.3595600514651434,0.9091296860072167,0.5192881992690639,0.48179107441749747,0.41433102191855375
29,1.3728591840561122,0.8629487668542557,0.51405630522667,0.4868198014013299,0.4304504047517907
30,1.3646910457306256,0.8919198551134432,0.5150798055679287,0.4840456953603927,0.4190964078249997
31,1.3610142300662385,0.9061707745404004,0.5178294287968989,0.48240874796153205,0.41486336379290717
32,1.3564819587420112,0.9333798772396018,0.519659892745214,0.48096037115136236,0.4048254126555299
33,1.3525001496484834,0.9686414452448283,0.521627342319924,0.4779351842185678,0.3936572256561828
34,1.3485421410434322,0.9922375757944638,0.5228182248873253,0.47593806500304237,0.38564569499666834
35,1.3206225064791501,1.086980552297749,0.533675861821327,0.468341137584486,0.3565724715930686
36,1.3168813681493612,1.1395816240952983,0.5369706458697036,0.46259381373723346,0.3421966243688374
37,1.2829183037966898,1.21164486696731,0.5456359209535329,0.4532722272829378,0.32138839289205806
38,1.2165967392050512,1.4634246766295063,0.5706081335947394,0.42853251752788074,0.2661197800614518
39,1.1018710264332219,1.8092089681864874,0.6088026687162652,0.38886538858963476,0.20892079729059515
40,0.9295830039401033,2.3204118854379,0.6656822471722076,0.33184305427077154,0.14638867659587837
41,0.7516681484571875,2.759762729956135,0.7228949254370172,0.27343973308189273,0.10692418919085231
42,0.6501595298993533,3.1186598354278634,0.768486854828656,0.2289236638371803,0.09174269515612762
43,0.5289057481302518,3.3434605372550825,0.809869898848882,0.18767009014646485,0.08218316370451219
44,0.4664753063424537,3.648108896463429,0.8336849908034006,0.16325267902936905,0.06989119740811146
45,0.39665563948894744,3.8665573371055464,0.857449698665915,0.13934143954785924,0.05639267392609626
46,0.4169224924556741,3.9067289618324472,0.8568596005371717,0.14030404508403038,0.06446663552435906
47,0.4262104481798873,3.91513374760815,0.8622404743479267,0.13418414273201468,0.05922558976732807
48,0.36427308351958176,4.013330531991236,0.8749042268008946,0.12505562966009048,0.053627851323467
49,0.34656266890228066,4.023602271597135,0.8778891516126455,0.11993656017536884,0.05411468311553166
50,0.3767621618095938,4.505120284208968,0.8798530613705856,0.1178989981654096,0.05341685302215352
