epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc
1,1.285195032711284,0.34771714922048996,1.4386593891792272,0.590818363273453,0.3723191899055572,0.4455367488604702
2,1.177567557927495,0.45448218262806234,1.3287769008777337,0.5914836992681304,0.3999567659222287,0.48012706063319655
3,1.1379657545705681,0.4782850779510022,1.2692343340027912,0.603459747172322,0.39849386754005894,0.5135340864998116
4,1.1326814263328944,0.4903953229398664,1.2256807518735062,0.6646706586826348,0.4326504161865051,0.5353234880809746
5,1.1108909607730093,0.4923440979955457,1.1825502024280652,0.656686626746507,0.4442523677036162,0.5688345268546816
6,1.101130470268445,0.5088390868596881,1.172812390390905,0.6660013306719893,0.4586823951640934,0.6135218478126446
7,1.079204570609902,0.5125278396436526,1.169787801826944,0.6194278110445776,0.4230807406779143,0.5831884209899875
8,1.0823725188495321,0.5152422048997772,1.14941461341665,0.6493679308050565,0.45727864480599256,0.5924528411558571
9,1.0901379645003508,0.5192093541202673,1.1209533348610143,0.6819693945442449,0.4564211795572822,0.5924862977066194
10,1.063133486527908,0.5254732739420935,1.1156644454735243,0.6453759148369926,0.4680841932294075,0.6139074556282418
11,1.063034626582683,0.5248468819599109,1.0929014665320644,0.6686626746506986,0.47499472978195734,0.6197850716867134
12,1.0610559330485712,0.5316675946547884,1.1049511020213703,0.6500332667997338,0.4542500470768778,0.606516816018185
13,1.0657679567358276,0.5309716035634744,1.1011210566192013,0.6393878908848969,0.4601949993833348,0.6065193330370932
14,1.062782130289184,0.5337555679287305,1.0762943818976858,0.6679973386560213,0.47129208387440796,0.6188155945400331
15,1.0641528686595654,0.5308324053452116,1.0871288808519968,0.6573519627411843,0.4661720451695399,0.6234706929792434
16,1.047995325584454,0.5402978841870824,1.0886219125228649,0.626746506986028,0.4510819245358699,0.6188200477381194
17,1.0551885412902238,0.5341035634743875,1.102100638453356,0.6240851630073186,0.43920964106853383,0.5813512592449869
18,1.0583546222716504,0.5330595768374164,1.0834400014566408,0.6852960745176314,0.4948468022115409,0.6104606803796245
19,1.0509998222236379,0.5358435412026726,1.0881870514301166,0.6679973386560213,0.4685041231116366,0.6160111319042129
20,1.0570589719477104,0.5363307349665924,1.0779096196273605,0.6580172987358616,0.4731453599130539,0.6254994828242376
21,1.0563763296418307,0.5380707126948775,1.0880530557867216,0.6713240186294078,0.4709651308435757,0.6199267106188525
