epoch,loss,recon,kl,val_loss,val_recon,val_kl
35,391.26852514536955,287.5565084518363,103.71201679804554,376.04248696185175,269.76272777800864,106.2797599954808
36,389.3222448618989,285.87045364728255,103.45179107526666,355.8087158203125,257.0155389664021,98.79317701623795
37,388.9024695827536,286.02929917426957,102.8731697117357,366.6188367478391,267.86146805134223,98.75736609925615
38,385.7759406381546,283.16502261923875,102.61091711314302,378.7743452356217,278.5818231460896,100.19251965461893
39,387.93472791697883,285.3360269624893,102.59870008355406,360.1223741896609,258.97635309746926,101.14601963124376
40,385.425076001311,283.5155997777094,101.90947723388672,348.53033966713764,248.11020514305602,100.42013419942653
41,382.013374224101,280.4590494512967,101.5543253650404,369.25478866252496,265.73558011968083,103.51920773120636
42,388.073260860356,286.71845917723493,101.35480352950422,348.888480328499,247.44653677433095,101.4419448527884
43,376.5055716179277,275.58391985610194,100.92165109991483,354.83520442881485,253.17372845588847,101.66147516128865
44,377.73295433009594,277.1045792810449,100.6283758503117,363.0906949956366,261.6998239070811,101.39087060157289
45,378.1129321790721,277.32705556094373,100.7858764439413,351.46659948470744,253.1963202293883,98.2702779566988
46,375.14968272866724,275.0313507498127,100.11833288462739,344.1948047394448,240.9640756160655,103.23073009734458
47,372.88958545144834,272.8319741863094,100.0576113696512,342.458860356757,243.76600906696726,98.69285323772024
48,374.1653231964808,274.4046180063187,99.76070505081246,344.31095269385804,244.7231614133145,99.58779160519863
49,366.47472322368185,266.7974748306623,99.67724856720668,346.6887661548371,247.64461338773688,99.04415309175532
50,372.01283243257706,272.53497997266516,99.47785096190292,342.2232860808677,242.21360843739612,100.00967618252369
51,371.4245369967805,272.31229578305596,99.11224149242383,338.74885266892454,241.70018232629656,97.04867164124833
52,367.9097915719089,269.1410141339585,98.76877827404842,345.8313429812168,247.34113944844998,98.49020385742188
53,371.46676928376496,272.64857754642014,98.81819281730478,341.60481359603557,243.35497981943982,98.24982971840717
54,366.61753726767625,268.3491138475671,98.2684236988085,336.6707094882397,237.05544556962684,99.61526489257812
55,363.90886907708153,265.62000682255996,98.28886316029448,338.8811671480219,242.36394809154754,96.51721743319897
56,361.49267605994936,263.54833817155395,97.94433701745996,344.64886474609375,246.00506851520944,98.64379493226396
57,363.5899510492473,265.8659844246085,97.7239662065898,341.6094808375582,245.41886285010804,96.1906175004675
58,365.71447238312464,267.973189541194,97.74128336449192,342.8826599121094,247.88498379321808,94.99767433328832
59,366.87655862607915,269.45314116456194,97.42341711314302,334.3073340882646,236.01059739133146,98.29673783322598
60,362.5178387785611,265.12936589489243,97.38847302301834,350.2754224411985,253.42045430934175,96.85496878116689
