epoch,loss,recon,kl,val_loss,val_recon,val_kl
1,4276.53408214273,4084.7170176048803,191.81706969378746,2433.232221887467,2292.3142219705783,140.91801355240193
2,1637.5402946297982,1495.3106647648224,142.22962909855255,1112.6528528091756,971.2820135887633,141.37084262929065
3,975.0625844459012,833.1119264924907,141.9506589288581,796.5545277696975,658.924312510389,137.6302163956013
4,749.3523289231949,611.2518065291453,138.100522672749,653.2584449281084,519.575544641373,133.68289979975273
5,655.1281658851937,519.7043749665561,135.42379130184923,581.8988303326546,445.467108543883,136.43172081480634
6,612.1541448445081,479.14244058687393,133.01170547694377,549.2219673319066,419.4921147772606,129.72985076904297
7,586.6142045809254,455.56192560065284,131.05227877124804,527.5308409345911,394.83462199758975,132.69621715139834
8,569.1592745846265,440.2937851997271,128.8654909177458,528.2499376662234,401.1182121114528,127.13172798968375
9,547.0545166573023,422.45030971858057,124.60420815803144,498.42958555830285,374.96504114029256,123.46454522964802
10,531.615968469071,409.7039407529787,121.91202677548203,492.36025156873336,371.8294749158494,120.53078022408992
11,517.2419671881689,396.58427923890554,120.65768777507625,507.32542581761135,389.49881890479554,117.82660415324759
12,513.8554421342127,395.1498174797999,118.7056228777045,476.54247072909743,356.7632816395861,119.77918925183884
13,497.319697271199,380.5372690697239,116.78242719118998,446.0499033826463,331.8096690076463,114.24023340103474
14,491.4430767738656,375.4933765707495,115.94970100437669,450.1987622849485,334.0317093869473,116.16705176170836
15,484.24879922387805,369.0503271094196,115.19847218413331,467.20848051030583,349.2227055975731,117.9857729648022
16,468.7555730114244,354.2612643307202,114.4943100393635,440.2060455971576,325.8988228655876,114.30722224458735
17,458.6252544525007,344.45281634047694,114.17243776364958,422.16565395923374,307.8305615364237,114.33509144884475
18,453.0239376259721,339.52918497721356,113.49475341518176,403.84623361141126,296.69739711031,107.14883487782579
19,446.9001332461562,334.79095020032906,112.10918353355095,414.75440816676365,299.53024811440326,115.22416070167054
20,438.700060282668,327.16380951067083,111.53624993589915,412.3454128833527,303.3999198751247,108.94549414452086
21,434.02100083163884,323.0354032472933,110.98559768885782,397.2641510659076,284.1571720204455,113.1069801817549
22,422.69604673342076,312.9218609256831,109.77418566838791,387.0064736224235,277.2460457010472,109.76042840835896
23,420.98932177399934,311.67801042669987,109.31131023250214,393.25843648707615,289.1994031540891,104.05903398229721
24,418.63811127127036,310.24896149657087,108.38914918246334,387.25916696102064,279.7776671064661,107.48149969222698
25,413.6035383389965,305.1952456121575,108.40829304037572,374.5368483523105,268.3602385825299,106.17661041909076
26,414.07686486091785,306.6983595895985,107.37850467908328,377.93309378116686,269.42239087693235,108.51070290423453
27,412.7054960346657,305.9953844601705,106.71011345571578,372.7006855416805,267.8147401200964,104.88594704485953
28,409.481371875223,303.3895657334698,106.09180607207834,392.62831797498336,283.3328412644407,109.29547638588764
29,406.2944868253246,300.2969356867821,105.99755246236444,372.3898302443484,265.5780201364071,106.81181205587184
30,402.4659430795609,296.5715611427342,105.89438117040346,369.93140817195814,262.02933843085106,107.90207103972739
31,401.50483849930436,296.1067970310716,105.39804240884303,363.86322930518617,261.24355527187913,102.61967516959982
32,395.48972421585154,290.8104937131002,104.67922994535263,384.5792236328125,279.5562286376953,105.02299499511719
33,393.8487217175906,289.68946838378906,104.15925207965451,376.84813284366686,273.93658966713764,102.91154496213223
34,400.5501640703036,296.2728020654966,104.27736137773348,365.520966225482,263.1777846965384,102.34317974334067
