class_idx,class_name,n_real,n_cvae,fid_cvae,n_cgan,fid_cgan
0,MEL,779,221,238.7778597696658,221,344.78814083353063
1,NV,4693,0,,0,
2,BCC,360,640,239.91407408068102,640,375.6105120694731
3,AKIEC,229,771,269.26603294435023,771,392.08910537615566
4,BKL,769,231,234.03819777704928,231,351.3007513305916
5,DF,80,920,255.067150228331,920,366.6079611344003
6,VASC,99,901,231.92967566817546,901,327.5582394542221
