epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,1.8683125628845416,0.5629904408617492,1.7895155980122224,0.6027944111776448,0.3012062388799412,0.0001
2,1.728132567012475,0.6326152090169782,1.6889145988190246,0.6094477711244178,0.344913466724523,0.0001
3,1.6324422477842448,0.6363247253531175,1.6295593852451145,0.6413838988689288,0.36013042362304937,0.0001
4,1.558664643470257,0.6241974604080468,1.5555890260025096,0.6373918829008649,0.4069206242365841,0.0001
5,1.4983119977355632,0.6411756313311456,1.5527953858860952,0.6347305389221557,0.4353053869951601,0.0001
6,1.4486906017041408,0.6327578827222143,1.4454111831630776,0.6127744510978044,0.4310006737361264,0.0001
7,1.4076525426519837,0.6388928520473677,1.457429996745553,0.6134397870924817,0.4209303011298769,0.0001
8,1.376685817140641,0.6341846197745755,1.4733167823282625,0.6127744510978044,0.432340717547982,0.0001
9,1.3555636096228578,0.6326152090169782,1.3565454779667452,0.6314038589487692,0.4363739737309196,0.0001
10,1.3260539936464886,0.6420316735625624,1.3816353159591666,0.6373918829008649,0.4491127028773606,0.0001
11,1.3043180624859396,0.6330432301326866,1.3731740774191465,0.6367265469061876,0.4454984401583776,0.0001
12,1.2722256818534066,0.6421743472677985,1.30130330079092,0.6453759148369926,0.4487377419287921,0.0001
13,1.2614442018728518,0.6331859038379227,1.3383249772522978,0.6553559547571524,0.4616124022781644,0.0001
14,1.2419844008424106,0.6453131687829933,1.293316032199644,0.6447105788423154,0.45241225723138906,0.0001
15,1.223926473946285,0.6433157369096876,1.3370476157682702,0.633399866932801,0.4546444883534758,0.0001
16,1.201211832834729,0.6423170209730347,1.2305785369968223,0.6573519627411843,0.45061716270210084,0.0001
17,1.1923440323523642,0.6523041803395634,1.3004350115756391,0.6447105788423154,0.46027801423784415,0.0001
18,1.1763873278184767,0.643743758025396,1.2129880528567398,0.6407185628742516,0.4409325650409717,0.0001
19,1.17670585159603,0.6540162648023969,1.206508485063742,0.648037258815702,0.45900222906566085,0.0001
20,1.1504688575036823,0.6465972321301184,1.1950833453231071,0.6879574184963406,0.4827436608596705,0.0001
21,1.1522790795131796,0.6543016122128692,1.2395985844289155,0.6600133067198936,0.46606526473850174,0.0001
22,1.1558146153933175,0.6577257811385362,1.2041270992237174,0.6314038589487692,0.4509756665296431,0.0001
23,1.1265793288123134,0.6527322014552718,1.2175070722342647,0.6500332667997338,0.4704275667060848,5e-05
24,1.1092188753063286,0.6584391496647168,1.172002949638519,0.669328010645376,0.46922524876185884,5e-05
25,1.1234821983097385,0.6612926237694393,1.2220045179822647,0.6626746506986028,0.4732856007767493,5e-05
