,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,0.08982035928143706,-0.041916167664670656,0.005988023952095807,-0.023952095808383242,0.0,-0.011976047904191614,-0.017964071856287428
NV,0.010934393638170975,-0.04473161033797213,0.001988071570576542,-0.0009940357852882692,0.03280318091451291,0.009940357852882702,-0.009940357852882706
BCC,-0.025974025974025955,-0.03896103896103896,0.0,0.0,0.02597402597402597,0.05194805194805195,-0.012987012987012991
AKIEC,0.061224489795918366,-0.02040816326530612,-0.02040816326530613,-0.10204081632653056,0.10204081632653061,-0.02040816326530612,0.0
BKL,0.02424242424242426,-0.0909090909090909,0.0,-0.024242424242424246,0.12727272727272732,-0.030303030303030304,-0.006060606060606058
DF,0.0,-0.23529411764705882,0.058823529411764705,0.0,-0.058823529411764705,0.11764705882352938,0.11764705882352941
VASC,0.09090909090909091,-0.13636363636363635,-0.045454545454545456,-0.045454545454545456,0.0,-0.045454545454545456,0.18181818181818177
